,ID,SMILES,graph_file
177,pubchem:3482,C1(C(C(OC(C1O)O)C(=O)N)O)O,graph_pubchem:3482
178,pubchem:3483,C1(C2C(C(C(=O)O2)O)OC1O)O,graph_pubchem:3483
179,pubchem:3484,C(CC(=O)NO)C(C(=O)O)N,graph_pubchem:3484
180,pubchem:3485,C(CC=O)CC=O,graph_pubchem:3485
181,pubchem:3486,C(CC(=O)NC(CS(=O)(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N,graph_pubchem:3486
182,pubchem:3487,CCC1(CCC(=O)NC1=O)C2=CC=CC=C2,graph_pubchem:3487
183,pubchem:3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,graph_pubchem:3488
184,pubchem:3489,CC(C)(C)C1=NN=C(S1)NS(=O)(=O)C2=CC=CC=C2,graph_pubchem:3489
185,pubchem:3490,C(C1C(C(C(O1)NC(=O)CN)O)O)OP(=O)([O-])[O-],graph_pubchem:3490
186,pubchem:3491,CC(C)(C(C(=O)NC1C(C(C(C(O1)CO)O)O)O)NC(=O)OC)SN=O,graph_pubchem:3491
187,pubchem:3492,CC(C)(C(C(=O)NC1C(C(C(OC1O)CO)O)O)NC(=O)OC)SN=O,graph_pubchem:3492
188,pubchem:3493,CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,graph_pubchem:3493
189,pubchem:3494,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C,graph_pubchem:3494
190,pubchem:3495,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,graph_pubchem:3495
191,pubchem:3496,C(C(=O)O)NCP(=O)(O)O,graph_pubchem:3496
192,pubchem:3497,CC(C)CC(CC(=O)O)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C)C3=CC=CC=C3,graph_pubchem:3497
193,pubchem:3498,CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC,graph_pubchem:3498
194,pubchem:3499,CN(C)CCCN1C=C(C2=C1C=CC(=C2)OC)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,graph_pubchem:3499
195,pubchem:3500,CN1C2=CC=CC=C2C3=C4C(=C5C6=C(C=CC(=C6)OC)N(C5=C31)CC(CN(C)C)O)C(=O)NC4=O,graph_pubchem:3500
196,pubchem:3501,CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O,graph_pubchem:3501
